عنوان المخطوطة  : كتاب اللطائف
رقم الصنف  : 810 / ك
المؤلف  : غير محدث
الرقم العام  : 2295
التاريخ المقترن بإسم المؤلف  :
المراجع  :
الوصف  : نسخة جيده ، خطها معتاد ، بأولها نقص
الوصف المادي  : 160 ق ، 24 س ؛ 22 × 15.5 سم
الموضوع  : 1 - ادب اللغة العربية
الإحالات  : أ ـ تاريخ النسخ
اسم الناسخ  :
تاريخ النسخ  : 1229 هـ
